TCP x,TCP y,TCP z,eef x,eef y,eef z,Cr(rzyz),Pitch(rzyz),Roll(rzyz),Manipulability,Waist_Roll,Waist_Pitch,RShoulder_Pitch,RShoulder_Roll,RElbow_Pitch,RElbow_Yaw,RWrist_Pitch,RWrist_Roll
0.309,-0.3,0.75,0.25449999999999995,-0.20560323098749617,0.75,-60,90.0,-90.0,0.069154672739472317,0.1747481059214027,0.05570355638750592,-0.6027423513777515,1.6936873365773308,-0.34094830708026164,1.0048095938410841,-2.6694797751128228,0.8279356527867993
0.309,-0.3,0.75,0.23192536085066631,-0.2229253608506663,0.75,-45,90.0,-90.0,0.072750488250378262,0.18752937321477808,0.17825713365555218,-0.5626245387375065,1.6210334205075985,-0.33186642800047306,0.9114722594465784,-2.700997803784789,0.5522152866859248
0.309,-0.3,0.75,0.21460323098749617,-0.2455,0.75,-30,90.0,-90.0,0.077598048597553523,0.1961640195809187,0.27767697926596624,-0.5513810605613165,1.5333734875455538,-0.3233608937275451,0.8148449405383545,-2.7389546096736623,0.2577560629421409
0.309,-0.3,0.75,0.20371408493449156,-0.27178872408382521,0.75,-15,90.0,-90.0,0.083399893824360985,0.2123393217412652,0.343660442611454,-0.569805868847444,1.4394710543960811,-0.30415964426598835,0.7258378068737437,-2.7768113533839527,-0.043943183126647
0.309,-0.3,0.75,0.19999999999999996,-0.29999999999999999,0.75,0,90.0,-90.0,0.090207610897549778,0.23900619445158697,0.370412229156669,-0.6203478244777391,1.3473021163226926,-0.27023095121077223,0.6488505258216377,-2.8095483629099673,-0.35055486681240516
0.309,-0.3,0.75,0.20371408493449156,-0.32821127591617477,0.75,15,90.0,-90.0,0.098145494569178662,0.2780129338147815,0.358608901621283,-0.7049300079879147,1.2660754592104666,-0.22852027881907988,0.5879298729022655,-2.826786138839779,-0.6554935271654156
0.309,-0.3,0.75,0.21460323098749617,-0.35449999999999998,0.75,30,90.0,-90.0,0.08968723230247494,0.18442256043613076,0.11472502199460417,-0.5573724574081901,0.9452562148739501,0.08053373145204815,0.8940383366897582,2.78410791677708,-0.8497544261133481
0.309,-0.3,0.75,0.23192536085066631,-0.3770746391493337,0.75,45,90.0,-90.0,0.086116466049506679,0.2806639368701594,-0.12377189130819656,-0.5831489567279059,0.4259594092281513,0.4385838740909227,1.404957834671471,2.234723595756024,-0.7613666014479523
0.259,-0.35,0.8,0.25900000000000001,-0.24099999999999994,0.80000000000000004,-90,90.0,-90.0,0.060607521512772974,-0.18150306960672788,-0.08844073068692207,2.432545455395204,-1.5931716092391242,2.317599659010543,1.0085558984805536,-2.827257319464017,0.9032064305680563
0.259,-0.35,0.8,0.23078872408382525,-0.24471408493449154,0.80000000000000004,-75,90.0,-90.0,0.061338951014023431,-0.1477540618843791,0.0455323646194588,2.5327994770554945,-1.564786447566982,2.3739679076657167,0.9682638853923311,-2.827018117293598,0.6869113272715962
0.259,-0.35,0.8,0.20449999999999999,-0.25560323098749616,0.80000000000000004,-60,90.0,-90.0,0.065192746552530614,-0.11919740862621193,0.1786491240702165,2.6043606100176686,-1.5073550809130654,2.414026799556567,0.8908976648809622,-2.8274333477020264,0.45214773251738716
0.259,-0.35,0.8,0.18192536085066632,-0.27292536085066632,0.80000000000000004,-45,90.0,-90.0,0.070909176824540177,-0.09415622814886221,0.296304537121885,2.645120642620377,-1.4277916723061768,2.4427941961679833,0.7928325470850497,-2.8274333477020264,0.1957949115286798
0.259,-0.35,0.8,0.16460323098749619,-0.29549999999999998,0.80000000000000004,-30,90.0,-90.0,0.076883632907720045,-0.06426505435436641,0.3851304501173216,2.6520936171278118,-1.3350981287670882,2.471342770297253,0.6917330821170751,-2.8274333477020264,-0.0776733582440671
0.259,-0.35,0.8,0.15371408493449157,-0.32178872408382519,0.80000000000000004,-15,90.0,-90.0,0.083233270283402147,-0.022599834854265203,0.4363968758279676,2.6246444279770915,-1.2376360700613578,2.513577624735466,0.6024320367016432,-2.8273205317269996,-0.36146409767395143
0.259,-0.35,0.8,0.14999999999999997,-0.34999999999999998,0.80000000000000004,0,90.0,-90.0,0.08906973969960949,0.03198807744316373,0.44839199236276017,2.5580365972708177,-1.1440478485273857,2.5702177978662766,0.5291437508566117,-2.8272934346399463,-0.6520079551328729
0.259,-0.35,0.8,0.15371408493449157,-0.37821127591617476,0.80000000000000004,15,90.0,-90.0,0.085872302372073564,0.09180659067249447,0.4196083034076278,2.458425500802753,-1.0603243802521278,2.635337237189687,0.47621454065653857,-2.827209339989338,-0.9440171595485244
0.259,-0.35,0.8,0.16460323098749619,-0.40449999999999997,0.80000000000000004,30,90.0,-90.0,0.086448917219676027,0.24354712257263142,0.44130036035073705,2.1334387804782806,-0.841692795692358,0.9922904992707929,-0.38556178410803865,-0.8508563086027016,-0.9278347722189426
0.259,-0.35,0.8,0.18192536085066632,-0.42707463914933363,0.80000000000000004,45,90.0,-90.0,0.068345430511871696,0.2970099951828442,-0.0720630788211208,-2.8151238529586915,-0.02907719696144108,2.723041230970214,1.523094779498084,1.8940676169167816,-0.8480504264472706
0.309,-0.35,0.75,0.309,-0.24099999999999994,0.75,-90,90.0,-90.0,0.059549750543893637,-0.14212928944035344,-0.43247909181134336,-0.8507245730257491,1.7282552717007384,-0.8727872298045081,1.2959527974145608,-2.826996769666136,0.8048972922731409
0.309,-0.35,0.75,0.28078872408382527,-0.24471408493449154,0.75,-75,90.0,-90.0,0.055861554798852811,-0.07728745016957635,-0.32851128395496737,-0.7130562451971825,1.7154637104050778,-0.8056019322639211,1.3391515607356057,-2.8267545776305227,0.5834214150213539
0.309,-0.35,0.75,0.25449999999999995,-0.25560323098749616,0.75,-60,90.0,-90.0,0.055826053450387242,-0.018742826001749507,-0.21159497653067352,-0.6027300592807416,1.6638268515019292,-0.7508352136254243,1.3225030264644007,-2.8274216950526885,0.35770011513698285
0.309,-0.35,0.75,0.23192536085066631,-0.27292536085066632,0.75,-45,90.0,-90.0,0.060014559160430657,0.0301812576019907,-0.092789015411065,-0.5318072579317056,1.5830276465578839,-0.7132886800301883,1.2553578852435134,-2.826953160530943,0.11845575527443854
0.309,-0.35,0.75,0.21460323098749617,-0.29549999999999998,0.75,-30,90.0,-90.0,0.066959153438677435,0.07050823903236964,0.01337859390142707,-0.503321972770587,1.483585696943429,-0.6892781680827811,1.1550545197149495,-2.8268320756956964,-0.1394891398931201
0.309,-0.35,0.75,0.20371408493449156,-0.32178872408382519,0.75,-15,90.0,-90.0,0.074564369139232076,0.11076944582779101,0.0918599571063056,-0.5161614830626191,1.3734227603525337,-0.6641073522440211,1.0438280772579807,-2.8267680331024825,-0.4127612847923899
0.309,-0.35,0.75,0.19999999999999996,-0.34999999999999998,0.75,0,90.0,-90.0,0.080388039250435112,0.15363408507071194,0.13516507522060273,-0.5685667896088814,1.2617247646067153,-0.6292362477888396,0.9327907104550386,-2.8274333477020264,-0.6921755986482857
0.309,-0.35,0.75,0.20371408493449156,-0.37821127591617476,0.75,15,90.0,-90.0,0.09371107209798496,0.28835788610572816,0.21320376381112274,-0.7601032089406751,0.747674120995455,0.6591699445607225,0.8518132579037652,2.440034204487743,-0.4389367769773632
0.309,-0.35,0.75,0.21460323098749617,-0.40449999999999997,0.75,30,90.0,-90.0,0.084251650178213677,0.2959347126214578,-0.07850363290700077,-0.5249701144281794,0.3850596698082686,0.3530705646053399,1.3252474977823416,2.229233581189611,-0.6269809371329117
0.259,-0.39999999999999997,0.7,0.25900000000000001,-0.29099999999999993,0.69999999999999996,-90,90.0,-90.0,0.062733599664144143,0.25035513048112845,-0.24437661779553943,-0.6214709022224691,1.6106041616056788,-0.6959462407454622,1.4666268467485077,-2.6789010236673434,0.8581592717376041
0.259,-0.39999999999999997,0.7,0.23078872408382525,-0.29471408493449153,0.69999999999999996,-75,90.0,-90.0,0.064032575205189304,0.27025494249068,-0.12695382576343595,-0.5006102231743386,1.570912269359195,-0.6439012365619402,1.4368083104546698,-2.702182580040791,0.6431504889110176
0.259,-0.39999999999999997,0.7,0.20449999999999999,-0.30560323098749614,0.69999999999999996,-60,90.0,-90.0,0.068296914809694451,0.27940976220493613,-0.002725252498920629,-0.4156872450191542,1.5039610703378201,-0.6150396650631045,1.3615018644435892,-2.730036297564365,0.4030164630189169
0.259,-0.39999999999999997,0.7,0.18192536085066632,-0.32292536085066625,0.69999999999999996,-45,90.0,-90.0,0.07380375706288532,0.27490716841866625,0.09904115091371736,-0.35969887149314683,1.4139413583435085,-0.6056635440023332,1.272204068494704,-2.781056053770938,0.13505527613313642
0.259,-0.39999999999999997,0.7,0.16460323098749619,-0.34549999999999997,0.69999999999999996,-30,90.0,-90.0,0.080092717055878643,0.27588495238115857,0.18024389006477662,-0.340778438027283,1.3098330183281262,-0.5993318201028293,1.1719349247324258,-2.8274333477020264,-0.15347552815652138
0.259,-0.39999999999999997,0.7,0.15371408493449157,-0.37178872408382518,0.69999999999999996,-15,90.0,-90.0,0.085730117757776975,0.2958568996866713,0.24427739262735085,-0.3753750463752439,1.2084598592718487,-0.5954510127052344,1.0641298345445647,-2.8268061689614115,-0.45871699493570756
0.259,-0.39999999999999997,0.7,0.14999999999999997,-0.39999999999999997,0.69999999999999996,0,90.0,-90.0,0.076403291393039918,0.2876412305115173,0.11236710613408744,-0.41094013511898764,1.1752949428780417,-0.8158588293232892,1.1690115118543687,-2.8272225843033363,-0.9312920997170883
0.259,-0.39999999999999997,0.7,0.15371408493449157,-0.42821127591617475,0.69999999999999996,15,90.0,-90.0,0.07696883477572769,0.28567900255867484,-0.11768445923852401,-0.04310571893762031,0.7888984590335766,-0.6356123115319663,1.3195519201762416,2.703784807010323,-0.9148392190043562
0.309,-0.44999999999999996,0.7,0.309,-0.34099999999999991,0.69999999999999996,-90,90.0,-90.0,0.068783623735082108,0.16607301708019717,-0.4447336479367065,2.216734360313551,-1.3926371953700325,2.2951222502212523,1.2484800755390955,-2.788050147784655,0.6984674046415775
