Time (s),Cases
0.418325975,R90
0.493339947,R90
0.404890142,R90
0.981927082,R90
0.800051099,R90
0.565856984,R90
0.662302608,R90
0.759700571,R90
0.434596127,R90
0.777198031,R90
0.521628063,R90
0.701477134,R90
0.796231102,R90
0.485740857,R90
0.637548882,R90
0.605381662,R90
0.752782636,R90
0.77774844,R90
0.729537095,R90
0.655956123,R90
0.43924812,R90
0.508862272,R90
0.470746952,R90
0.466270627,R90
0.84828916,R90
0.922005133,R90
0.47920972,R90
0.572028038,R90
0.74766062,R90
0.73367438,R90
0.864219091,R90
0.734264272,R90
1.006595694,R90
0.829610261,R90
0.727110616,R90
0.729903088,R90
0.428206849,R90
0.541635698,R90
0.902573678,R90
0.563414428,R90
0.828447972,R90
0.699417357,R90
0.9071363,R90
0.390470289,R90
0.738307458,R90
0.91926704,R90
0.385013253,R90
0.68008402,R90
0.882172151,R90
0.752454235,R90
0.746587702,R90
0.797007538,R90
0.700119554,R90
0.611407785,R90
0.509672754,R90
0.152356735,P90
0.145887753,P90
0.125079228,P90
0.122620467,P90
0.12175585,P90
0.128761792,P90
0.164883856,P90
0.120834239,P90
0.143129225,P90
0.140213781,P90
0.167521604,P90
0.145869563,P90
0.11899902,P90
0.154422599,P90
0.121683819,P90
0.14584434,P90
0.120797617,P90
0.145134942,P90
0.124817782,P90
0.120264538,P90
0.161315281,P90
0.128234776,P90
0.119304364,P90
0.152224314,P90
0.171483804,P90
0.118875088,P90
0.149264002,P90
0.133011632,P90
0.142365258,P90
0.168087182,P90
0.122635746,P90
0.120219912,P90
0.121528115,P90
0.145005916,P90
0.141565639,P90
0.120525984,P90
0.144399836,P90
0.146955851,P90
0.176970786,P90
0.11856271,P90
0.116627084,P90
0.136721602,P90
0.118772255,P90
0.165715004,P90
0.121032628,P90
0.121746634,P90
0.122286989,P90
0.148108593,P90
0.164018269,P90
0.136338163,P90
0.139556769,P90
0.125425075,P90
0.185889072,P90
0.135523265,P90
0.121253329,P90
0.145694699,P90
0.118792628,P90
0.171740158,P90
0.130469683,P90
0.145960026,P90
0.137023551,P90
0.122784174,P90
0.148778944,P90
0.12648711,P90
0.14466201,P90
0.120344087,P90
0.119540345,P90
0.169523441,P90
0.118893277,P90
0.144839056,P90
0.140979688,P90
0.16425134,P90
0.148387259,P90
0.143261403,P90
0.124203455,P90
0.125220623,P90
0.14715036,P90
0.139366384,P90
0.12453184,P90
0.125151502,P90
0.17256694,P90
0.137296154,P90
0.126491233,P90
0.118608548,P90
0.145925587,P90
0.140523976,P90
0.129690437,P90
0.11881106,P90
0.138075401,P90
0.122365083,P90
0.150638416,P90
0.141784158,P90
0.14907483,P90
0.117611753,P90
0.140795609,P90
0.170889608,P90
0.116499756,P90
0.121175962,P90
0.12103384,P90
0.126870549,P90
0.163131097,P90
0.137767388,P90
0.142118121,P90
0.141483179,P90
0.137688081,P90
0.144340901,P90
0.125269371,P90
0.123688808,P90
0.139298233,P90
0.143619377,P90
0.145278519,P90
0.154701266,P90
0.123455737,P90
0.132113547,P90
0.141062148,P90
0.127670168,P90
0.124283732,P90
0.125165811,P90
0.132326002,P90
0.146580659,P90
0.128688306,P90
0.125186184,P90
0.11974504,P90
0.143399888,P90
0.177435715,P90
0.127241862,P90
0.148871347,P90
0.12772498,P90
0.152634431,P90
0.12745747,P90
0.12183831,P90
0.139308419,P90
0.138066427,P90
0.148757601,P90
0.119246157,P90
0.176239318,P90
0.118657539,P90
0.142295167,P90
0.155642279,P90
0.147736068,P90
0.120947985,P90
0.148845154,P90
0.125311086,P90
0.148776761,P90
0.13894026,P90
0.141147518,P90
0.142566557,P90
0.169681085,P90
0.131781767,P90
0.135727717,P90
0.148620087,P90
0.120839332,P90
0.146072075,P90
0.151792127,P90
0.136405102,P90
0.120735772,P90
0.168578547,P90
0.142665267,P90
0.123356058,P90
0.140916631,P90
0.12695592,P90
0.146670152,P90
0.138268939,P90
0.140119194,P90
0.123164702,P90
0.120878137,P90
0.143755921,P90
0.12392964,P90
0.120709336,P90
0.146178788,P90
0.161455948,P90
0.145934803,P90
0.122898163,P90
0.138698216,P90
0.121547275,P90
0.149536848,P90
0.119596369,P90
0.137806921,P90
0.14422764,P90
0.140111919,P90
0.176397204,P90
0.1412877,P90
0.143489138,P90
0.129888826,P90
0.145561308,P90
0.146991746,P90
0.137951468,P90
0.145192179,P90
0.121029717,P90
0.146616068,P90
0.121518899,P90
0.143571598,P90
0.142493313,P90
0.116598708,P90
0.161069113,P90
0.140201412,P90
0.139238086,P90
0.115531337,P90
0.166135064,P90
0.12305993,P90
0.119251493,P90
0.125752489,P90
0.127522468,P90
0.143435297,P90
0.122748765,P90
0.142173902,P90
0.146888913,P90
0.140345959,P90
0.15330454,P90
0.143170697,P90
0.147944643,P90
0.119988782,P90
0.141177107,P90
0.125278587,P90
0.121024624,P90
0.123370367,P90
0.138307258,P90
0.149165535,P90
0.143288809,P90
0.136499931,P90
0.136898406,P90
0.12735682,P90
0.168999577,P90
0.123707968,P90
0.119401133,P90
0.136641083,P90
0.147745527,P90
0.150501144,P90
0.145960996,P90
0.141248168,P90
0.138307258,P90
0.163531028,P90
0.120345785,P90
0.14126563,P90
0.117627032,P90
0.168481777,P90
0.147943673,P90
0.140644998,P90
0.143621559,P90
0.16356862,P90
0.162806593,P90
0.12314142,P90
0.125093537,P90
0.126238033,P90
0.118770315,P90
0.164377212,P90
0.146595938,P90
0.118386634,P90
0.136743915,P90
0.145192179,P90
0.147093366,P90
0.12391242,P90
0.121915434,P90
0.115876213,P90
0.166635645,P90
0.144667345,P90
0.144229823,P90
0.116553598,P90
0.14480874,P90
0.163622461,P90
0.138149857,P90
0.140288965,P90
0.12294109,P90
0.141603231,P90
0.121093745,P90
0.138120268,P90
0.122716023,P90
0.120663498,P90
0.140381611,P90
0.125642866,P90
0.140993027,P90
0.146043699,P90
0.140038675,P90
0.171247581,P90
0.137179497,P90
0.135443716,P90
0.119907535,P90
0.174975013,P90
0.156541577,P90
0.149454388,P90
0.147280598,P90
0.122403888,P90
0.167422895,P90
0.143344833,P90
0.120240285,P90
0.125934629,P90
0.166907035,P90
0.151403353,P90
0.15214719,P90
0.123679349,P90
0.127452377,P90
0.165229945,P90
0.138878172,P90
0.118315573,P90
0.156187485,P90
0.165147243,P90
0.124342667,P90
0.152490854,P90
0.123936915,P90
0.123690748,P90
0.169912215,P90
0.148527684,P90
0.128688306,P90
0.121845343,P90
0.118679851,P90
0.15113366,P90
0.140068263,P90
0.141394656,P90
0.144029494,P90
0.136421594,P90
0.169831695,P90
0.124131181,P90
0.144001845,P90
0.121576863,P90
0.16796713,P90
0.12070303,P90
0.14099812,P90
0.143409831,P90
0.119959436,P90
0.140178129,P90
0.143742581,P90
0.138551485,P90
0.1183796,P90
0.14084654,P90
0.146135132,P90
0.14756848,P90
0.120670532,P90
0.122530973,P90
0.126934577,P90
0.144020035,P90
0.122538007,P90
0.124182113,P90
0.13417747,P90
0.119349232,P90
0.172269114,P90
0.136962676,P90
0.144878831,P90
0.143248064,P90
0.173546758,P90
0.121041844,P90
0.147478987,P90
0.123121047,P90
0.128817574,P90
0.148991399,P90
0.122012446,P90
0.141402902,P90
0.128686366,P90
0.163803631,P90
0.122389821,P90
0.146067952,P90
0.147904141,P90
0.129700623,P90
0.144835176,P90
0.11986679,P90
0.118035694,P90
0.124074187,P90
0.126294785,P90
0.164507451,P90
0.144730161,P90
0.139015444,P90
0.122859601,P90
0.148686298,P90
0.168762626,P90
0.140840476,P90
0.146373054,P90
0.119558535,P90
0.170977161,P90
0.139964461,P90
0.117269786,P90
0.140712178,P90
0.118115243,P90
0.141696847,P90
0.13979275,P90
0.119799609,P90
0.151184834,P90
0.144421906,P90
0.120008184,P90
0.140614682,P90
0.14646764,P90
0.136244305,P90
0.166446229,P90
0.122353927,P90
0.140975808,P90
0.125255304,P90
0.1412666,P90
0.143381455,P90
0.147112768,P90
0.122665335,P90
0.114291285,P90
0.165382254,P90
0.118923836,P90
0.141602503,P90
0.142338822,P90
0.155873167,P90
0.166014042,P90
0.118899583,P90
0.119006296,P90
0.117534386,P90
0.12795805,P90
0.168684289,P90
0.124193269,P90
0.124796439,P90
0.139945301,P90
0.125349891,P90
0.161119074,P90
0.124970333,P90
0.144785215,P90
0.125898249,P90
0.168753653,P90
0.123517825,P90
0.140283872,P90
0.121994984,P90
0.139015444,P90
0.169559335,P90
0.129659878,P90
0.140420173,P90
0.148493972,P90
0.170751366,P90
0.129725846,P90
0.146123006,P90
0.124839124,P90
0.148870377,P90
0.139573746,P90
0.117468418,P90
0.12815935,P90
0.136769381,P90
0.125850229,P90
0.145617333,P90
0.136205743,P90
0.144274448,P90
0.139661542,P90
0.148793981,P90
0.131448046,P90
0.140810888,P90
0.1483567,P90
0.146556163,P90
0.147398467,P90
0.145719922,P90
0.12451656,P90
0.14196848,P90
0.123685655,P90
0.175286178,P90
0.116858942,P90
0.135712438,P90
0.121883178,P90
0.169579465,P90
0.169446074,P90
0.14146887,P90
0.123653884,P90
0.140891165,P90
0.148475782,P90
0.142511503,P90
0.121060276,P90
0.143328584,P90
0.163779135,P90
0.151413539,P90
0.121296014,P90
0.137832386,P90
0.142511746,P90
0.156152803,P90
0.143478225,P90
0.141085431,P90
0.147262408,P90
0.146088324,P90
0.145535843,P90
0.126348626,P90
0.141507674,P90
0.119747708,P90
0.165408689,P90
0.146066012,P90
0.12755715,P90
0.122364113,P90
0.122439297,P90
0.146888913,P90
0.139000165,P90
0.145443439,P90
0.117903758,P90
0.139575929,P90
0.175170249,P90
0.14854078,P90
0.121198275,P90
0.12503436,P90
0.127133936,P90
0.143267467,P90
0.12148446,P90
0.149662963,P90
0.142031538,P90
0.170151106,P90
0.123910237,P90
0.140059047,P90
0.148025163,P90
0.147239853,P90
0.148585648,P90
0.139398883,P90
0.122209622,P90
0.122906409,P90
0.172239526,P90
0.124427067,P90
0.126446366,P90
0.145700763,P90
0.966273993,R180
1.134979125,R180
0.572125933,R180
1.143016609,R180
1.760790549,R180
0.728886172,R180
0.749385869,R180
0.886197414,R180
0.722535377,R180
1.422324045,R180
0.618537129,R180
1.099057796,R180
1.348774901,R180
1.659911132,R180
1.421568892,R180
1.203340674,R180
1.482645796,R180
0.87947457,R180
1.529756865,R180
1.238297556,R180
1.608070135,R180
0.76046582,R180
0.902057945,R180
1.030931253,R180
1.593108999,R180
0.644358894,R180
1.401308572,R180
1.066619634,R180
1.549467212,R180
1.603118057,R180
1.445071975,R180
1.263314031,R180
0.965457645,R180
1.317399404,R180
1.380332951,R180
1.266521053,R180
1.543342681,R180
1.027898556,R180
1.446556055,R180
0.598144136,R180
1.753141055,R180
0.859262845,R180
1.39863301,R180
1.361610448,R180
0.777469494,R180
1.286940272,R180
1.509893277,R180
1.174008487,R180
1.167718886,R180
1.578771373,R180
1.008438384,R180
0.595974324,R180
0.893053186,R180
0.767875681,R180
1.327808279,R180
1.300241459,R180
1.171690833,R180
0.701569527,R180
1.557710647,R180
1.036613286,R180
1.032606886,R180
1.729066401,R180
1.190485585,R180
1.223631077,R180
1.785667923,R180
1.080893495,R180
0.571396748,R180
1.083053794,R180
1.266972037,R180
1.264616843,R180
1.098324241,R180
0.931806404,R180
1.53915527,R180
1.591465506,R180
0.751648757,R180
1.624620768,R180
0.798776025,R180
1.687632222,R180
1.386574985,R180
1.14283097,R180
1.603649519,R180
1.783534621,R180
1.052341145,R180
0.789034626,R180
0.525316719,R180
1.203741519,R180
0.990886793,R180
1.28959835,R180
0.749667412,R180
1.442397699,R180
0.912818557,R180
1.278952413,R180
1.582995552,R180
0.826831368,R180
1.756337793,R180
1.124224942,R180
1.441100543,R180
0.854283513,R180
1.684855099,R180
0.830445921,R180
1.194135878,R180
0.88626015,R180
1.132355244,R180
1.014594027,R180
1.295345433,R180
1.611877012,R180
1.561229553,R180
0.988145667,R180
1.509636674,R180
1.773697318,R180
1.642749073,R180
1.477498567,R180
1.364783274,R180
0.678487088,R180
1.394806849,R180
1.55321161,R180
1.402834562,R180
0.617368274,R180
1.570239968,R180
1.197391753,R180
1.517793974,R180
1.007193937,R180
0.66793577,R180
1.647115695,R180
1.500805212,R180
1.384331895,R180
0.583096866,R180
1.058847238,R180
1.032263892,R180
0.854272714,R180
1.427580035,R180
1.191876846,R180
1.72092967,R180
1.102135489,R180
0.618897607,R180
1.331133062,R180
1.131693939,R180
0.817266351,R180
1.275852865,R180
1.01019938,R180
1.542477996,R180
1.731670741,R180
0.992686871,R180
1.301497991,R180
1.549794008,R180
0.840146696,R180
0.647190012,R180
1.329080752,R180
0.706603625,R180
1.310173896,R180
1.646067428,R180
0.754861437,R180
0.749041075,R180
0.686708925,R180
0.728134619,R180
1.602079561,R180
1.896671329,R180
0.726759556,R180
1.705259148,R180
1.316270145,R180
0.861784136,R180
1.256797138,R180
1.038257036,R180
1.670435453,R180
1.429474732,R180
1.47638525,R180
1.063025393,R180
1.246979118,R180
1.030928939,R180
1.224969372,R180
1.189304903,R180
1.254102036,R180
1.129567323,R180
1.146478178,R180
1.435999338,R180
1.511890306,R180
0.778791591,R180
1.271434563,R180
1.092069351,R180
0.901789257,R180
0.821113338,R180
0.805059712,R180
1.667075188,R180
1.761206821,R180
0.631807204,R180
1.364551355,R180
0.81884865,R180
1.505063073,R180
1.155413,R180
1.643185658,R180
1.713639369,R180
1.240759967,R180
1.535212635,R180
1.290068617,R180
0.580119449,R180
1.694704488,R180
1.044786785,R180
1.41617046,R180
1.131659485,R180
0.806228824,R180
1.006041281,R180
1.592218088,R180
0.657351026,R180
1.476441558,R180
1.102745886,R180
1.80117029,R180
1.702933009,R180
0.585179258,R180
1.190391738,R180
1.384232647,R180
0.772838557,R180
1.009926836,R180
1.282293136,R180
1.486627256,R180
1.222003782,R180
1.393462897,R180
0.949889456,R180
0.579714747,R180
0.811435447,R180
1.231940333,R180
1.045831709,R180
1.176225609,R180
1.434474633,R180
1.103618284,R180
1.584756547,R180
1.390996629,R180
1.082902609,R180
1.256132747,R180
1.759792934,R180
0.891549822,R180
1.294825543,R180
1.006936048,R180
0.944079122,R180
1.105505524,R180
1.180978163,R180
1.186557863,R180
1.251606456,R180
1.198107825,R180
1.19126645,R180
0.70503161,R180
1.027087608,R180
1.31940826,R180
0.972333731,R180
1.4153356,R180
1.368840326,R180
1.293750536,R180
1.055091271,R180
0.719954692,R180
1.367029707,R180
1.305766393,R180
0.879654809,R180
1.035385037,R180
1.340514497,R180
1.243782637,R180
1.51529608,R180
0.809196728,R180
0.919101215,R180
1.078721626,R180
1.025949865,R180
1.704477255,R180
1.206976054,R180
1.162232005,R180
1.2080886,R180
1.24913376,R180
0.905493802,R180
1.184995362,R180
1.5007795,R180
1.046883318,R180
1.603704799,R180
1.554846361,R180
0.988540342,R180
0.705045494,R180
0.922141626,R180
1.688571471,R180
1.717545493,R180
1.498981737,R180
0.807774355,R180
0.880665023,R180
1.558021244,R180
1.184378538,R180
1.023846903,R180
0.708475695,R180
0.74358839,R180
0.58434337,R180
1.177832334,R180
1.03145423,R180
1.448276169,R180
1.208620575,R180
1.029136832,R180
1.107128448,R180
1.621176169,R180
1.132243913,R180
0.988054904,R180
1.566210684,R180
0.880078539,R180
1.82959331,R180
1.683398273,R180
1.168069594,R180
1.151148969,R180
1.191828251,R180
1.177696576,R180
1.101982247,R180
1.431328547,R180
1.078005555,R180
1.670619034,R180
1.700236878,R180
1.152809689,R180
0.800139003,R180
1.554735287,R180
1.505511742,R180
1.355289993,R180
0.757590736,R180
0.926339836,R180
0.97969191,R180
1.223525402,R180
1.746620049,R180
0.9707828,R180
1.444363874,R180
1.229901137,R180
0.678186261,R180
0.905142323,R180
1.02020201,R180
0.883654525,R180
1.290825827,R180
1.305107402,R180
1.304617594,R180
1.121626772,R180
0.880245665,R180
1.35427618,R180
1.496611374,R180
1.411851405,R180
1.291740136,R180
1.380789077,R180
1.467797792,R180
1.380664118,R180
0.917837741,R180
1.248152344,R180
1.361132724,R180
1.218251928,R180
1.61546174,R180
0.697849041,R180
1.440905134,R180
1.233667132,R180
0.953887115,R180
0.993745679,R180
1.122682753,R180
1.462665733,R180
1.141404227,R180
1.444414269,R180
1.145977828,R180
1.380818388,R180
0.932429913,R180
1.093970733,R180
1.625907126,R180
1.220321465,R180
1.076155082,R180
0.857132629,R180
1.165639579,R180
1.1860426,R180
1.191541566,R180
1.410429804,R180
1.254746886,R180
1.131749219,R180
1.25312499,R180
1.293898121,R180
1.230484536,R180
1.402786995,R180
1.177842104,R180
0.987102542,R180
1.4599912,R180
0.75645942,R180
1.227803318,R180
1.186128734,R180
1.247371479,R180
1.501623873,R180
0.958664609,R180
1.616924994,R180
1.22954503,R180
0.825424679,R180
0.882195384,R180
1.233333651,R180
1.259736759,R180
1.479247735,R180
0.812581933,R180
1.018123732,R180
0.748061972,R180
0.997987342,R180
0.726769069,R180
1.393845745,R180
0.678384498,R180
1.51198981,R180
1.801972495,R180
0.865508993,R180
1.49026135,R180
1.042883346,R180
1.582415238,R180
1.333730974,R180
1.543454013,R180
1.468496637,R180
0.926250359,R180
0.922401571,R180
1.219344162,R180
0.97623317,R180
1.314306284,R180
1.225324194,R180
0.925546115,R180
1.353362643,R180
0.722673449,R180
0.964338414,R180
1.266940669,R180
0.897696723,R180
0.742693108,R180
1.147451881,R180
1.28333369,R180
1.221158124,R180
1.328659337,R180
1.490814924,R180
1.053918816,R180
0.884959394,R180
1.2477371,R180
1.114397151,R180
1.113808353,R180
1.219589195,R180
1.449959516,R180
1.19414462,R180
1.23910439,R180
1.071957644,R180
1.356913945,R180
1.12044609,R180
1.555503038,R180
1.143723681,R180
1.66975075,R180
1.172836033,R180
1.288183691,R180
1.319137773,R180
0.542886565,R180
1.146731695,R180
1.394656693,R180
0.877740315,R180
1.663728808,R180
0.845089002,R180
0.727192027,R180
1.039862733,R180
0.560281829,R180
1.122196287,R180
0.708873969,R180
1.161168569,R180
1.186939939,R180
0.863859072,R180
0.682523314,R180
0.751825397,R180
1.315570272,R180
0.584321773,R180
1.28204399,R180
0.576531122,R180
0.552260287,R180
0.762908433,R180
0.753788229,R180
1.049978238,R180
1.024251349,R180
1.659530341,R180
1.260873731,R180
1.315193852,R180
0.804511024,R180
0.760919889,R180
1.74090639,R180
0.546224461,R180
1.190396109,R180
0.997638176,R180
1.557142418,R180
1.46477178,R180
1.239447384,R180
1.040579833,R180
1.2109444,R180
0.777057336,R180
1.24187817,R180
1.241930879,R180
1.167079436,R180
1.4471104,R180
1.440808972,R180
1.619100205,R180
1.778312828,R180
0.81543002,R180
0.810275334,R180
0.835965456,R180
1.911989343,R180
0.756883149,R180
1.604801147,R180
1.248297872,R180
1.109126763,R180
1.088110518,R180
0.944735799,R180
0.762057633,R180
0.921287483,R180
1.264823823,R180
0.646692747,R180
0.904116682,R180
1.140476805,R180
1.206612233,R180
1.63429326,R180
0.239590654,P180
0.247663073,P180
0.22318911,P180
0.261375439,P180
0.279549496,P180
0.304956001,P180
0.247551696,P180
0.291759977,P180
0.235004152,P180
0.255996106,P180
0.286052374,P180
0.252898056,P180
0.253466667,P180
0.26115244,P180
0.28007805,P180
0.255213289,P180
0.279126213,P180
0.247325277,P180
0.21951219,P180
0.284202434,P180
0.265145418,P180
0.292180818,P180
0.256345626,P180
0.238535255,P180
0.214785245,P180
0.272521484,P180
0.214377838,P180
0.247382676,P180
0.227848398,P180
0.214270124,P180
0.271460224,P180
0.250729371,P180
0.235476285,P180
0.275627595,P180
0.23726101,P180
0.23232108,P180
0.290020194,P180
0.226429557,P180
0.213736441,P180
0.28204816,P180
0.253407314,P180
0.296037993,P180
0.256899582,P180
0.287172254,P180
0.255748438,P180
0.240789182,P180
0.213239639,P180
0.28497084,P180
0.209082526,P180
0.222833484,P180
0.234233547,P180
0.254204298,P180
