old 90,new 90,old 180,new 180
0.491853513,0.152356735,0.966273993,0.239590654
0.766434801,0.145887753,1.134979125,0.247663073
0.708444483,0.125079228,0.572125933,0.22318911
0.702623582,0.122620467,1.143016609,0.261375439
0.959774556,0.12175585,1.760790549,0.279549496
0.830967841,0.128761792,0.728886172,0.304956001
0.687002902,0.164883856,0.749385869,0.247551696
0.780084839,0.120834239,0.886197414,0.291759977
0.563861517,0.143129225,0.722535377,0.235004152
0.712869267,0.140213781,1.422324045,0.255996106
0.920747799,0.167521604,0.618537129,0.286052374
0.819972437,0.145869563,1.099057796,0.252898056
0.971531501,0.11899902,1.348774901,0.253466667
0.794158559,0.154422599,1.659911132,0.26115244
0.713370262,0.121683819,1.421568892,0.28007805
0.850050326,0.14584434,1.203340674,0.255213289
0.654658833,0.120797617,1.482645796,0.279126213
0.777844667,0.145134942,0.87947457,0.247325277
0.498230734,0.124817782,1.529756865,0.21951219
0.677336233,0.120264538,1.238297556,0.284202434
0.910859833,0.161315281,1.608070135,0.265145418
0.714531368,0.128234776,0.76046582,0.292180818
0.779644607,0.119304364,0.902057945,0.256345626
0.671766893,0.152224314,1.030931253,0.238535255
0.688540878,0.171483804,1.593108999,0.214785245
0.913420367,0.118875088,0.644358894,0.272521484
0.714324256,0.149264002,1.401308572,0.214377838
0.451300602,0.133011632,1.066619634,0.247382676
0.451672269,0.142365258,1.549467212,0.227848398
0.691479227,0.168087182,1.603118057,0.214270124
0.574248351,0.122635746,1.445071975,0.271460224
0.641853795,0.120219912,1.263314031,0.250729371
0.834405057,0.121528115,0.965457645,0.235476285
0.677487075,0.145005916,1.317399404,0.275627595
0.462898192,0.141565639,1.380332951,0.23726101
0.509607026,0.120525984,1.266521053,0.23232108
0.720203792,0.144399836,1.543342681,0.290020194
0.750368924,0.146955851,1.027898556,0.226429557
0.800935582,0.176970786,1.446556055,0.213736441
0.756202829,0.11856271,0.598144136,0.28204816
0.846196993,0.116627084,1.753141055,0.253407314
0.565500921,0.136721602,0.859262845,0.296037993
0.665386598,0.118772255,1.39863301,0.256899582
0.536774465,0.165715004,1.361610448,0.287172254
0.980516069,0.121032628,0.777469494,0.255748438
0.891965782,0.121746634,1.286940272,0.240789182
0.61587418,0.122286989,1.509893277,0.213239639
0.809214881,0.148108593,1.174008487,0.28497084
0.64258058,0.164018269,1.167718886,0.209082526
0.888120251,0.136338163,1.578771373,0.222833484
0.739697665,0.139556769,1.008438384,0.234233547
0.969375734,0.125425075,0.595974324,0.254204298
0.888833324,0.185889072,0.893053186,0.242887279
0.72742885,0.135523265,0.767875681,0.272465307
0.563439253,0.121253329,1.327808279,0.278193916
0.780206127,0.145694699,1.300241459,0.258194589
0.849085456,0.118792628,1.171690833,0.243116628
0.486318928,0.171740158,0.701569527,0.215481109
0.763909022,0.130469683,1.557710647,0.279612757
0.89397378,0.145960026,1.036613286,0.209210513
0.655372851,0.137023551,1.032606886,0.256902757
0.601758849,0.122784174,1.729066401,0.269218753
0.865402422,0.148778944,1.190485585,0.223110217
0.707061133,0.12648711,1.223631077,0.246093775
0.881207281,0.14466201,1.785667923,0.246253758
0.587842827,0.120344087,1.080893495,0.235238631
0.775835723,0.119540345,0.571396748,0.22511208
0.713604327,0.169523441,1.083053794,0.273476497
0.82827656,0.118893277,1.266972037,0.257935441
0.903159551,0.144839056,1.264616843,0.282496601
0.974494439,0.140979688,1.098324241,0.260443386
0.996324002,0.16425134,0.931806404,0.221233411
0.73215319,0.148387259,1.53915527,0.290163812
0.452187923,0.143261403,1.591465506,0.261874684
0.727571654,0.124203455,0.751648757,0.235886134
0.583653291,0.125220623,1.624620768,0.221322561
0.558504727,0.14715036,0.798776025,0.27235051
0.773672863,0.139366384,1.687632222,0.260449248
0.942077313,0.12453184,1.386574985,0.24127768
0.684221305,0.125151502,1.14283097,0.253426854
0.803328488,0.17256694,1.603649519,0.238143969
0.650198585,0.137296154,1.783534621,0.260046971
0.874613726,0.126491233,1.052341145,0.271793135
0.472242371,0.118608548,0.789034626,0.223804861
0.772717687,0.145925587,0.525316719,0.217084358
0.677604817,0.140523976,1.203741519,0.276687146
0.684164798,0.129690437,0.990886793,0.252685071
0.650112052,0.11881106,1.28959835,0.291058006
0.66859566,0.138075401,0.749667412,0.210099578
0.425566164,0.122365083,1.442397699,0.238065321
0.630125459,0.150638416,0.912818557,0.209484804
0.692063209,0.141784158,1.278952413,0.278253268
0.444858836,0.14907483,1.582995552,0.22350761
0.909249509,0.117611753,0.826831368,0.2568075
0.58922736,0.140795609,1.756337793,0.25018543
0.634316177,0.170889608,1.124224942,0.216366267
0.545214535,0.116499756,1.441100543,0.296940492
0.7526883,0.121175962,0.854283513,0.22269011
0.646911974,0.12103384,1.684855099,0.253444196
0.571393461,0.126870549,0.830445921,0.219224465
0.703874768,0.163131097,1.194135878,0.295880208
0.855163357,0.137767388,0.88626015,0.220522647
0.790823717,0.142118121,1.132355244,0.223162242
0.823357875,0.141483179,1.014594027,0.24452863
0.506215677,0.137688081,1.295345433,0.254374539
0.901505724,0.144340901,1.611877012,0.274548016
0.76820968,0.125269371,1.561229553,0.260163722
0.397597229,0.123688808,0.988145667,0.239469751
0.548765711,0.139298233,1.509636674,0.253938067
0.546825095,0.143619377,1.773697318,0.252713892
0.682959006,0.145278519,1.642749073,0.269158424
0.806666168,0.154701266,1.477498567,0.215196316
0.704606755,0.123455737,1.364783274,0.255343718
0.546863633,0.132113547,0.678487088,0.267533437
0.886467134,0.141062148,1.394806849,0.246526096
0.501985239,0.127670168,1.55321161,0.220946418
0.90464102,0.124283732,1.402834562,0.23280054
0.822210481,0.125165811,0.617368274,0.223341521
0.646556147,0.132326002,1.570239968,0.282744758
0.458830418,0.146580659,1.197391753,0.255173721
0.592398829,0.128688306,1.517793974,0.214723939
0.595216836,0.125186184,1.007193937,0.26434648
0.61853567,0.11974504,0.66793577,0.214040775
0.733326118,0.143399888,1.647115695,0.238914574
0.641156564,0.177435715,1.500805212,0.262474803
0.667583268,0.127241862,1.384331895,0.285864058
0.489801775,0.148871347,0.583096866,0.213672936
0.713200505,0.12772498,1.058847238,0.212874732
0.557102698,0.152634431,1.032263892,0.283392994
0.401820811,0.12745747,0.854272714,0.211249257
0.779804197,0.12183831,1.427580035,0.281528643
0.76490179,0.139308419,1.191876846,0.217892577
0.761377331,0.138066427,1.72092967,0.287420166
0.701723021,0.148757601,1.102135489,0.253714579
0.495360003,0.119246157,0.618897607,0.214337781
0.779625929,0.176239318,1.331133062,0.277975802
0.654523122,0.118657539,1.131693939,0.227797106
0.710103748,0.142295167,0.817266351,0.328961984
0.750755486,0.155642279,1.275852865,0.211291023
0.745087319,0.147736068,1.01019938,0.314033504
0.763679921,0.120947985,1.542477996,0.252405406
0.720997014,0.148845154,1.731670741,0.272269664
0.752580252,0.125311086,0.992686871,0.26524385
0.663078098,0.148776761,1.301497991,0.243258292
0.674739052,0.13894026,1.549794008,0.218839285
0.430704729,0.141147518,0.840146696,0.279560732
0.579202737,0.142566557,0.647190012,0.214815288
0.707718644,0.169681085,1.329080752,0.254557726
0.651186152,0.131781767,0.706603625,0.238029416
0.810191809,0.135727717,1.310173896,0.222148366
0.634600602,0.148620087,1.646067428,0.236095944
0.663016626,0.120839332,0.754861437,0.212406751
0.605371496,0.146072075,0.749041075,0.294978442
0.694202425,0.151792127,0.686708925,0.211364786
0.832687631,0.136405102,0.728134619,0.258275679
0.951637825,0.120735772,1.602079561,0.275258047
0.898807351,0.168578547,1.896671329,0.22053779
0.533595193,0.142665267,0.726759556,0.287364966
0.681731227,0.123356058,1.705259148,0.227562627
0.73159096,0.140916631,1.316270145,0.272418167
0.549607637,0.12695592,0.861784136,0.242990596
0.818838047,0.146670152,1.256797138,0.23697011
0.823171568,0.138268939,1.038257036,0.224319249
0.443395099,0.140119194,1.670435453,0.271201076
0.785847579,0.123164702,1.429474732,0.246745187
0.420183367,0.120878137,1.47638525,0.213771124
0.438271192,0.143755921,1.063025393,0.246742256
0.465625174,0.12392964,1.246979118,0.247692872
0.395951205,0.120709336,1.030928939,0.257071777
0.893477987,0.146178788,1.224969372,0.252791563
0.490606109,0.161455948,1.189304903,0.241731738
0.91755647,0.145934803,1.254102036,0.25702879
0.952157498,0.122898163,1.129567323,0.282133159
0.907696402,0.138698216,1.146478178,0.220426169
0.664139195,0.121547275,1.435999338,0.277123618
0.63124188,0.149536848,1.511890306,0.256180514
0.743520498,0.119596369,0.778791591,0.256130443
0.708993,0.137806921,1.271434563,0.275435127
0.813782468,0.14422764,1.092069351,0.255451187
0.626339036,0.140111919,0.901789257,0.284068341
0.470314759,0.176397204,0.821113338,0.265075807
1.08474709,0.1412877,0.805059712,0.282994624
0.736847504,0.143489138,1.667075188,0.262934723
0.777067285,0.129888826,1.761206821,0.243742638
0.717762182,0.145561308,0.631807204,0.2629081
0.858610503,0.146991746,1.364551355,0.23463729
0.761165254,0.137951468,0.81884865,0.218265545
0.669016269,0.145192179,1.505063073,0.234948708
0.712203953,0.121029717,1.155413,0.22123854
0.541986796,0.146616068,1.643185658,0.260433128
0.789505857,0.121518899,1.713639369,0.304762068
0.390101459,0.143571598,1.240759967,0.285720684
0.63818275,0.142493313,1.535212635,0.246935945
0.429434629,0.116598708,1.290068617,0.214573481
0.618381991,0.161069113,0.580119449,0.23962436
0.526629971,0.140201412,1.694704488,0.252255682
0.492218561,0.139238086,1.044786785,0.291078523
0.772388576,0.115531337,1.41617046,0.256814583
0.704713858,0.166135064,1.131659485,0.241079106
0.760409624,0.12305993,0.806228824,0.220356313
0.490374881,0.119251493,1.006041281,0.303773593
0.716965886,0.125752489,1.592218088,0.257459889
0.946735217,0.127522468,0.657351026,0.253955408
0.879701932,0.143435297,1.476441558,0.234145618
0.98153059,0.122748765,1.102745886,0.215668448
0.465103373,0.142173902,1.80117029,0.231802784
0.516955501,0.146888913,1.702933009,0.225700963
0.729637341,0.140345959,0.585179258,0.276306851
0.981684269,0.15330454,1.190391738,0.24679135
0.951322428,0.143170697,1.384232647,0.271827085
0.974168402,0.147944643,0.772838557,0.214796969
0.808998784,0.119988782,1.009926836,0.281651501
0.437892432,0.141177107,1.282293136,0.244645381
0.420058532,0.125278587,1.486627256,0.251270382
0.679076593,0.121024624,1.222003782,0.238052864
0.869438278,0.123370367,1.393462897,0.256834368
0.618150053,0.138307258,0.949889456,0.277672445
0.781082573,0.149165535,0.579714747,0.242767597
1.018412219,0.143288809,0.811435447,0.270382599
0.754994909,0.136499931,1.231940333,0.212348376
0.743714844,0.136898406,1.045831709,0.257478451
0.545670845,0.12735682,1.176225609,0.246154105
0.568035685,0.168999577,1.434474633,0.229459707
0.925121041,0.123707968,1.103618284,0.220586884
0.916257525,0.119401133,1.584756547,0.225811852
0.685565881,0.136641083,1.390996629,0.299770113
0.748641331,0.147745527,1.082902609,0.252023401
0.619402658,0.150501144,1.256132747,0.25103053
0.430036579,0.145960996,1.759792934,0.267416687
0.690806821,0.141248168,0.891549822,0.279083226
0.483186233,0.138307258,1.294825543,0.252201703
0.876726227,0.163531028,1.006936048,0.27578538
0.942694159,0.120345785,0.944079122,0.257926159
0.703598382,0.14126563,1.105505524,0.279155035
0.738604886,0.117627032,1.180978163,0.249602652
0.649766155,0.168481777,1.186557863,0.279500402
0.634923092,0.147943673,1.251606456,0.222041629
0.627088045,0.140644998,1.198107825,0.237742424
0.658580967,0.143621559,1.19126645,0.259324483
0.384697856,0.16356862,0.70503161,0.215964722
0.715651809,0.162806593,1.027087608,0.255201077
0.966566239,0.12314142,1.31940826,0.220167753
0.646829697,0.125093537,0.972333731,0.246614269
0.70887384,0.126238033,1.4153356,0.229932084
0.988073311,0.118770315,1.368840326,0.233689605
0.954888498,0.164377212,1.293750536,0.225712443
0.897445752,0.146595938,1.055091271,0.258859434
0.668897344,0.118386634,0.719954692,0.285445171
0.668124692,0.136743915,1.367029707,0.207102158
0.800875056,0.145192179,1.305766393,0.253289586
0.599187675,0.147093366,0.879654809,0.25772441
0.589089522,0.12391242,1.035385037,0.246462591
0.871913462,0.121915434,1.340514497,0.216977865
0.653539574,0.115876213,1.243782637,0.24586638
0.641363676,0.166635645,1.51529608,0.213029585
0.729782982,0.144667345,0.809196728,0.300823069
0.691059801,0.144229823,0.919101215,0.278669224
0.432497577,0.116553598,1.078721626,0.261751582
0.543308438,0.14480874,1.025949865,0.275396291
0.9498925,0.163622461,1.704477255,0.257065915
0.785696737,0.138149857,1.206976054,0.237284458
0.75610873,0.140288965,1.162232005,0.243575816
0.824074021,0.12294109,1.2080886,0.238268047
0.677488967,0.141603231,1.24913376,0.221450548
0.492945346,0.121093745,0.905493802,0.215720962
0.67972512,0.138120268,1.184995362,0.248788083
0.780169244,0.122716023,1.5007795,0.270652982
0.668128711,0.120663498,1.046883318,0.284508722
0.538040073,0.140381611,1.603704799,0.244340803
0.563111089,0.125642866,1.554846361,0.27110875
0.796624758,0.140993027,0.988540342,0.21443084
0.391764506,0.146043699,0.705045494,0.281961941
0.875270292,0.140038675,0.922141626,0.221111286
0.949348948,0.171247581,1.688571471,0.272657775
0.515546143,0.137179497,1.717545493,0.260440211
0.522013916,0.135443716,1.498981737,0.273624756
0.496114687,0.119907535,0.807774355,0.22505346
0.377389338,0.174975013,0.880665023,0.288349288
0.932412536,0.156541577,1.558021244,0.265389422
0.856374114,0.149454388,1.184378538,0.2256272
0.672401707,0.147280598,1.023846903,0.243612453
0.607937941,0.122403888,0.708475695,0.265706946
0.656291381,0.167422895,0.74358839,0.239196192
0.440421048,0.143344833,0.58434337,0.263451065
0.90562575,0.120240285,1.177832334,0.273861677
0.789801158,0.125934629,1.03145423,0.255553527
0.681689615,0.166907035,1.448276169,0.266688581
0.551839771,0.151403353,1.208620575,0.245108232
0.63156508,0.15214719,1.029136832,0.24005668
0.572145071,0.123679349,1.107128448,0.213032761
0.724539205,0.127452377,1.621176169,0.210747081
1.005602925,0.165229945,1.132243913,0.285539451
0.863952398,0.138878172,0.988054904,0.216682813
0.916433901,0.118315573,1.566210684,0.298203746
0.559384246,0.156187485,0.880078539,0.255702275
0.898995785,0.165147243,1.82959331,0.267361486
0.572348401,0.124342667,1.683398273,0.21614913
0.835721971,0.152490854,1.168069594,0.233943868
0.579120459,0.123936915,1.151148969,0.211801259
0.598668002,0.123690748,1.191828251,0.221932939
0.732214662,0.169912215,1.177696576,0.270561877
0.702495673,0.148527684,1.101982247,0.214772056
0.517911386,0.128688306,1.431328547,0.258364586
0.854974922,0.121845343,1.078005555,0.207295603
0.629508614,0.118679851,1.670619034,0.246368311
0.738079303,0.15113366,1.700236878,0.257116719
